"","V1","C_AICC","T0","Tm","c","bAICC","Snl_B0","Snl_E","Snl_E_h","Snl_T_h","Snl_AICC","Snl_Converge","Snh_B0","Snh_E","Snh_E_l","Snh_T_l","Snh_AICC","Snh_Converge","Full_B0","Full_E_h","Full_E_l","Full_E","Full_T_l","Full_T_h","Full_AICC","Full_Converge","Sample_size"
"863","MTD2196",-1.20479880495544,13.1978685150233,32.8662793187041,0.00025583909627459,-15.6640732059296,0.0144877559454596,0.992657506005247,3.92741544704655,302.96970718303,-1.61529631765335,1,0.241190185263657,0,-0.906618938988148,290.552613206552,9.83855552120527,1,0.0530051261577287,3.82493624608586,-0.906618938988148,0.640298416260758,290.491545772455,303.044623425062,48.2575217073255,1,6
"864","MTD2197",-15.3465816135865,13.2513751680886,36.1879587099514,0.000237449397791256,-22.5332967454056,0.0134325405008121,1.05201105516382,2.71821309686325,304.423815971719,-16.857983703269,0.85,0.297879855948866,0.138758803753521,-0.747927998278144,299.082880685584,3.00703500169078,1,0.155820484729147,2.40798804455801,-0.747927998278144,0.50822004351548,303.15,303.348513803844,33.6892587783864,0.95,6
"865","MTD2198",3.67438100972221,13.9178555363813,33.0895612671441,0.000272183639491282,-9.91149039691295,0.00842068780678398,1.2077106226727,3.82084759624663,302.483865878929,2.15970372784531,1,0.265749201592487,0,-0.979592537234565,292.756078270357,10.7869024861944,1,0.00982460939772934,3.7981661827057,-0.979592537234565,1.16224316082121,273.15,302.512801331426,52.1948071213954,1,6
"866","MTD2199",13.6485442322067,0.327630321362979,35.1153987758201,0.0011757738157866,4.37564547138971,0.602317314997527,0.488821521910189,4.51850343212233,305.05401447047,24.2131205973788,1,1.99032539068641,0,-0.679813309876457,274.117043574023,42.7034149855382,1,2.91332600223024,4.88881906070626,-0.679813309876457,0.113818580936895,294.579036968774,305.112295721882,67.9505465113353,0.95,7
"867","MTD2200",20.44878423798,6.07014224891931,32.221750771255,0.0025261822122335,19.1188141059535,0.179844848566665,1.33193514584285,3.15329201426474,298.15,25.9269664270821,1,2.74444208566739,0,-1.23816838294174,287.557130722404,45.8732399006676,0.95,0.890797050755357,2.71379981808421,-1.23816838294174,0.800981881336061,289.900853610405,298.15,65.5077967420458,1,8
"868","MTD2201",25.9539252588201,6.20896524024241,35.00180773559,0.00213652488843685,22.6876517079819,0.351541166023237,0.813081162454107,5.14684310040348,303.794019553376,35.1590252162875,1,2.85088352103369,0,-1.03153052481701,287.837877270236,52.523034941152,1,2.55939665739772,6.00629419920359,-1.03153052481701,0.237902992853623,293.090766937207,304.496043756686,70.7944992419583,0.95,9
"869","MTD2202",27.2583427458171,0,35.0119977622879,0.00146411956279617,23.3408884933572,0.189714395748975,1.30108764333424,2.80283541052539,298.15,36.4793079251589,1,2.35303732438729,0,-0.988408130613136,278.126229420505,48.5090380754598,1,1.07163705290973,2.38993453974668,-0.988408130613136,0.746684469868682,291.379025495821,298.15,81.3695209774839,0.95,7
"870","MTD2203",25.5292053809,0,35.0003500917133,0.00179389848349203,25.8050827573255,0.541368548141415,0.907290041170164,2.75385305777316,299.672276814898,36.0689164235513,1,2.89527108583852,0,-0.759364893498853,276.994908215279,52.0141973840816,0.9,2.59654809629101,2.60421658920679,-0.759364893498853,0.420019182251557,290.977444745363,300.323539770393,76.8765922412309,1,8
"871","MTD2204",23.4423089099735,4.6792136286065,35.1665625694106,0.00254029631931843,22.5519545518905,0.491005995700761,0.830726951108274,3.56292247481566,303.126663982351,31.7845927422769,1,4.00024066969238,0,-0.891063581525361,286.91635625825,52.3263537824427,1,2.51364659784084,3.62959162503644,-0.891063581525361,0.36316176284534,291.765920985708,303.734146952632,70.8405033071664,1,8
"872","MTD2205",12.7324315461129,5.22929889982894,35.2707179610534,0.00241709443382383,16.3929425391477,0.333851583715884,0.994868918467459,2.91657731410523,301.813364345107,28.2377682469118,1,3.83743348826933,0,-1.01889835734393,288.849675676409,49.9669521874024,0.95,2.0623839311276,3.02011608567525,-1.01889835734393,0.400165439179977,291.089261741765,303.579110695449,63.0428057787636,0.95,9
